SubscriberKey,FirstName,Email,Region,Email_Consent,LastPurchaseDate
1,Christy,christy37@gmail.com,UK,TRUE,3/03/2025 7:03
2,Cynthia,cynthia90@yahoo.com,NZ,FALSE,13/09/2024 7:03
3,amanda,amanda43@gmail.com,US,FALSE,17/11/2024 7:03
4,Alexander,alexander11@yahoo.com,UK,FALSE,
5,RICKY,ricky59@hotmail.com,AU,FALSE,1/03/2025 7:03
6,Patricia,patricia95@gmail.com,NZ,FALSE,28/10/2024 7:03
7,Brooke,brooke25@gmail.com,UK,TRUE,3/02/2025 7:03
8,ashley,ashley96@yahoo.com,US,FALSE,13/09/2024 7:03
9,cindy,cindy26@yahoo.com,US,TRUE,4/05/2025 7:03
10,Alvin,alvin41@yahoo.com,NZ,FALSE,22/11/2024 7:03
11,michael,michael77@hotmail.com,US,FALSE,22/06/2024 7:03
12,rachael,rachael46@gmail.com,NZ,FALSE,7/03/2025 7:03
13,Cindy,cindy76@yahoo.com,US,TRUE,
14,HAILEY,hailey73@yahoo.com,AU,FALSE,21/02/2025 7:03
15,nicholas,nicholas88@yahoo.com,NZ,TRUE,9/01/2025 7:03
16,Mark,mark54@gmail.com,US,TRUE,
17,Cindy,cindy45@hotmail.com,US,TRUE,26/08/2024 7:03
18,Nicole,nicole26@hotmail.com,NZ,TRUE,
19,Andrew,andrew2@hotmail.com,AU,FALSE,19/12/2024 7:03
20,james,james69@gmail.com,UK,TRUE,22/11/2024 7:03
21,Jeffery,jeffery21@hotmail.com,NZ,TRUE,20/05/2025 7:03
22,robert,robert69@gmail.com,UK,FALSE,13/10/2024 7:03
23,Samuel,samuel32@yahoo.com,NZ,TRUE,2/02/2025 7:03
24,SIERRA,sierra28@yahoo.com,US,TRUE,
25,Lauren,lauren27@yahoo.com,AU,TRUE,
26,Bridget,bridget16@gmail.com,US,FALSE,12/11/2024 7:03
27,Brandi,brandi24@gmail.com,NZ,FALSE,21/10/2024 7:03
28,LEE,lee82@hotmail.com,AU,FALSE,23/11/2024 7:03
29,Phillip,phillip34@yahoo.com,NZ,FALSE,9/09/2024 7:03
30,JONATHAN,jonathan17@gmail.com,NZ,TRUE,26/02/2025 7:03
31,Lori,lori64@gmail.com,AU,FALSE,
32,Toni,toni71@hotmail.com,UK,TRUE,17/03/2025 7:03
33,Emily,emily24@gmail.com,AU,FALSE,7/01/2025 7:03
34,Shannon,shannon22@gmail.com,NZ,TRUE,9/10/2024 7:03
35,ryan,ryan6@hotmail.com,AU,TRUE,30/06/2024 7:03
36,Gregory,gregory69@hotmail.com,UK,FALSE,
37,Karen,karen61@gmail.com,AU,FALSE,31/10/2024 7:03
38,TRACY,tracy29@hotmail.com,AU,TRUE,
39,George,george29@gmail.com,UK,TRUE,
40,Daniel,daniel77@gmail.com,UK,FALSE,15/12/2024 7:03
41,ROBERT,robert28@yahoo.com,US,FALSE,19/06/2024 7:03
42,emily,emily87@yahoo.com,AU,FALSE,28/09/2024 7:03
43,jeffrey,jeffrey25@gmail.com,US,TRUE,
44,andrea,andrea79@hotmail.com,UK,FALSE,18/01/2025 7:03
45,MIA,mia81@yahoo.com,US,FALSE,
46,TRISTAN,tristan5@hotmail.com,US,FALSE,6/11/2024 7:03
47,gregory,gregory28@yahoo.com,AU,TRUE,
48,Donald,donald81@hotmail.com,US,TRUE,
49,Jeanette,jeanette71@yahoo.com,AU,TRUE,
50,Ralph,ralph34@gmail.com,NZ,FALSE,30/09/2024 7:03
